Logical Addr,Physical Addr,Offset,Value
66,0,20,0
244,1,29,0
117,2,246,29
209,3,179,108
156,4,249,0
112,5,109,0
95,6,142,23
189,7,15,67
253,8,47,75
71,9,119,221
47,10,186,11
88,11,232,0
226,12,126,56
109,13,62,27
214,14,110,53
152,15,17,0
128,16,97,0
250,17,243,188
9,18,11,66
251,19,198,62
215,20,1,0
72,21,201,0
56,22,221,0
238,23,78,59
244,1,151,37
29,24,167,105
252,25,235,58
26,26,71,145
126,27,59,142
236,28,229,0
24,29,164,0
178,30,120,0
3,31,201,0
159,32,187,238
192,33,142,48
160,34,158,40
83,35,147,228
23,36,203,242
127,37,29,0
69,38,1,0
14,39,200,0
112,5,46,28
231,40,104,0
156,4,242,39
234,41,182,58
165,42,12,0
174,43,226,43
87,44,242,21
11,45,251,254
61,46,141,0
123,47,161,0
42,48,90,10
170,49,245,0
130,50,125,0
175,51,154,43
221,52,81,0
19,53,139,226
196,54,51,12
75,55,158,18
142,56,177,0
40,57,152,0
230,58,2,57
20,59,9,0
228,60,186,57
228,60,216,0
107,61,52,0
230,58,102,57
201,62,20,0
26,26,140,0
83,35,63,207
119,63,241,0
113,64,36,0
160,34,43,10
79,65,35,200
226,12,1,0
247,66,26,61
142,56,22,35
2,67,180,0
168,68,113,0
188,69,0,0
135,70,1,0
192,33,61,0
144,71,58,36
231,40,26,57
197,72,120,0
69,38,202,17
70,73,225,0
15,74,44,0
212,75,116,0
167,76,180,0
183,77,71,209
230,58,12,0
33,78,172,0
149,79,192,0
251,19,101,0
91,80,91,214
166,81,136,0
62,82,41,0
61,46,63,79
87,44,229,0
146,83,164,0
21,84,151,101
249,85,177,0
244,1,252,0
128,16,106,32
251,19,134,62
246,86,125,0
241,87,106,60
76,88,192,0
113,64,103,89
175,51,181,0
109,13,188,0
36,89,232,0
174,43,200,0
240,90,56,0
122,91,221,0
237,92,74,59
47,10,167,233
243,93,47,203
85,94,33,0
103,95,176,0
58,96,116,0
161,97,246,40
219,98,25,0
203,99,70,50
187,100,110,46
232,101,92,0
198,102,236,0
27,103,30,6
136,104,182,34
105,105,189,0
202,106,214,50
236,28,229,0
168,68,173,0
41,107,63,79
18,108,56,0
111,109,162,27
232,101,124,0
152,15,0,0
248,110,74,62
253,8,78,63
245,111,218,61
106,112,58,26
112,5,132,0
241,87,7,65
42,48,246,10
25,113,196,0
147,114,89,0
169,115,166,42
88,11,164,0
245,111,251,126
184,116,21,0
205,117,41,0
135,70,86,33
128,16,121,0
50,118,255,191
255,119,136,0
245,111,149,0
223,120,226,55
49,121,115,92
54,122,228,0
128,16,188,0
192,33,121,0
196,54,176,0
194,123,73,0
60,124,195,48
185,125,115,92
59,126,224,0
135,70,61,0
200,127,165,0
128,16,52,0
190,128,215,181
47,10,192,0
7,129,243,252
236,28,123,30
57,130,3,64
54,122,29,0
94,131,79,147
59,126,112,0
31,132,177,0
88,11,112,0
128,16,210,32
152,15,239,59
76,88,64,0
227,133,29,0
249,85,215,117
207,134,48,0
218,135,34,54
2,67,73,0
200,127,29,0
250,17,181,0
214,14,95,151
110,136,50,27
40,57,28,0
60,124,35,8
50,118,84,0
8,137,101,0
208,138,235,58
232,101,214,58
58,96,133,0
143,139,64,0
90,140,157,0
142,56,166,35
52,141,49,0
77,142,98,19
101,143,99,88
244,1,214,61
101,143,165,0
114,144,225,0
148,145,223,55
228,60,205,0
222,146,8,0
161,97,90,40
212,75,154,53
14,39,33,0
197,72,220,0
161,97,236,0
79,65,17,0
123,47,235,250
209,3,243,124
111,109,134,27
91,80,106,22
